userid,username,firstname,lastname,city,state,email,phone,likesports,liketheatre,likeconcerts,likejazz,likeclassical,likeopera,likerock,likevegas,likebroadway,likemusicals
1,ZWD,Michele,Mckee,TRYON,Zimbabwean,Michele.M.Mckee@spambob.com,972-460-4413,true,true,true,true,true,true,true,true,true,true
2,ZWD,Jason,Clem,ROCKY POINT,Zimbabwean,Jason.D.Clem@spambob.com,601-744-7007,false,false,false,false,false,false,false,false,false,false
3,ZWD,Patricia,Zalewski,ISABELA,Zimbabwean,Patricia.A.Zalewski@mailinator.com,806-341-4926,true,true,true,true,true,true,true,true,true,true
4,ZWD,Raymond,Moore,MARBLEHEAD,Zimbabwean,Raymond.D.Moore@trashymail.com,830-317-7046,false,false,false,false,false,false,false,false,false,false
5,ZWD,Gregory,Smith,HYDE PARK,Zimbabwean,Gregory.P.Smith@dodgit.com,608-250-4804,true,true,true,true,true,true,true,true,true,true
6,ZWD,Junior,Hamilton,HARRISBURG,Zimbabwean,Junior.P.Hamilton@spambob.com,757-865-6351,false,false,false,false,false,false,false,false,false,false
7,ZWD,Christopher,Kuster,MELBOURNE,Zimbabwean,Christopher.C.Kuster@mailinator.com,251-545-1686,true,true,true,true,true,true,true,true,true,true
8,ZWD,Erica,Brundidge,LONG ISLAND,Zimbabwean,Erica.E.Brundidge@pookmail.com,484-620-8575,false,false,false,false,false,false,false,false,false,false
9,ZWD,Michael,Lewis,ALBANY,Zimbabwean,Michael.C.Lewis@trashymail.com,415-749-0284,true,true,true,true,true,true,true,true,true,true
10,ZWD,Janice,Jones,EAST HAMPTON,Zimbabwean,Janice.R.Jones@trashymail.com,719-531-0588,false,false,false,false,false,false,false,false,false,false
11,ZWD,Virginia,Miller,MILLIS,Zimbabwean,Virginia.J.Miller@spambob.com,607-555-6586,true,true,true,true,true,true,true,true,true,true
12,ZWD,Michelle,Ziegler,GALES FERRY,Zimbabwean,Michelle.A.Ziegler@dodgit.com,325-372-5802,false,false,false,false,false,false,false,false,false,false
13,ZWD,Carla,Port,SELMA,Zimbabwean,Carla.T.Port@pookmail.com,310-238-2012,true,true,true,true,true,true,true,true,true,true
14,ZWD,Marcella,Delfino,MONCURE,Zimbabwean,Marcella.M.Delfino@spambob.com,252-224-3191,false,false,false,false,false,false,false,false,false,false
15,ZWD,Lillie,Steele,MORRISVILLE,Zimbabwean,Lillie.R.Steele@mailinator.com,814-876-2375,true,true,true,true,true,true,true,true,true,true
16,ZWD,Brenda,Stansbury,FIVE POINTS,Zimbabwean,Brenda.B.Stansbury@trashymail.com,256-557-2436,false,false,false,false,false,false,false,false,false,false
17,ZWD,Charles,Behne,PRINSBURG,Zimbabwean,Charles.M.Behne@trashymail.com,715-875-9832,true,true,true,true,true,true,true,true,true,true
18,ZWD,Charles,Campos,JACKSON,Zimbabwean,Charles.T.Campos@mailinator.com,310-956-5417,false,false,false,false,false,false,false,false,false,false
19,ZWD,Jimmy,Lin,FRANKLIN,Zimbabwean,Jimmy.P.Lin@dodgit.com,530-828-2771,true,true,true,true,true,true,true,true,true,true
20,ZWD,Deana,Jeanpierre,SCRANTON,Zimbabwean,Deana.M.Jeanpierre@dodgit.com,315-454-5314,false,false,false,false,false,false,false,false,false,false
21,ZWD,Cristina,Nichols,NOMA,Zimbabwean,Cristina.K.Nichols@dodgit.com,812-756-3834,true,true,true,true,true,true,true,true,true,true
22,ZWD,Theresa,Estrada,DIXONS MILLS,Zimbabwean,Theresa.H.Estrada@pookmail.com,919-497-5718,true,true,true,true,true,true,true,true,true,true
23,ZWD,Nancy,Rose,RICHARDSON,Zimbabwean,Nancy.R.Rose@mailinator.com,337-550-4749,false,false,false,false,false,false,false,false,false,false
24,ZWD,William,Smith,HOUSTON,Zimbabwean,William.L.Smith@trashymail.com,559-265-0010,true,true,true,true,true,true,true,true,true,true
25,ZWD,Mary,Fierro,BIRMINGHAM,Zimbabwean,Mary.M.Fierro@mailinator.com,410-465-1499,false,false,false,false,false,false,false,false,false,false
26,ZWD,Edward,Hagen,TIFF CITY,Zimbabwean,Edward.S.Hagen@spambob.com,708-344-6356,true,true,true,true,true,true,true,true,true,true
27,ZWD,Thomas,Cox,SOCORRO,Zimbabwean,Thomas.L.Cox@spambob.com,661-679-1374,false,false,false,false,false,false,false,false,false,false
28,ZWD,William,Mason,LAWTON,Zimbabwean,William.M.Mason@pookmail.com,541-221-5802,true,true,true,true,true,true,true,true,true,true
29,ZWD,James,Jones,SEATTLE,Zimbabwean,James.G.Jones@mailinator.com,920-698-2102,false,false,false,false,false,false,false,false,false,false
30,ZWD,Ena,Wang,CROOKSVILLE,Zimbabwean,Ena.A.Wang@trashymail.com,786-380-6531,true,true,true,true,true,true,true,true,true,true
31,ZWD,Sarita,Nottingham,TAMPA,Zimbabwean,Sarita.D.Nottingham@dodgit.com,718-629-1327,false,false,false,false,false,false,false,false,false,false
32,ZWD,Martin,Cruz,TYLER,Zimbabwean,Martin.L.Cruz@trashymail.com,251-843-4653,true,true,true,true,true,true,true,true,true,true
33,ZWD,Genevieve,Bennett,DALLAS,Zimbabwean,Genevieve.J.Bennett@spambob.com,410-401-0751,false,false,false,false,false,false,false,false,false,false
34,ZWD,Julian,Johnson,KANSAS CITY,Zimbabwean,Julian.C.Johnson@pookmail.com,508-409-9628,true,true,true,true,true,true,true,true,true,true
35,ZWD,Antonio,Sifford,HOBOKEN,Zimbabwean,Antonio.R.Sifford@spambob.com,509-269-8112,false,false,false,false,false,false,false,false,false,false
36,ZWD,Aaron,Cantu,GARLAND,Zimbabwean,Aaron.J.Cantu@dodgit.com,801-570-3430,true,true,true,true,true,true,true,true,true,true
37,ZWD,Jamie,Hymes,SPRINGFIELD,Zimbabwean,Jamie.T.Hymes@spambob.com,843-269-5871,false,false,false,false,false,false,false,false,false,false
38,ZWD,Donald,Kennedy,BROOKLYN,Zimbabwean,Donald.D.Kennedy@trashymail.com,302-584-9740,true,true,true,true,true,true,true,true,true,true
39,ZWD,Matthew,New,IRVINE,Zimbabwean,Matthew.K.New@pookmail.com,502-621-6598,false,false,false,false,false,false,false,false,false,false
40,ZWD,Roberto,Perkins,MIAMI,Zimbabwean,Roberto.J.Perkins@pookmail.com,941-905-4234,true,true,true,true,true,true,true,true,true,true
41,ZWD,Robert,Whitley,HOUSTON,Zimbabwean,Robert.C.Whitley@dodgit.com,843-423-3035,false,false,false,false,false,false,false,false,false,false
42,ZWD,Albert,Nusbaum,BOULDER,Zimbabwean,Albert.L.Nusbaum@trashymail.com,904-645-2435,true,true,true,true,true,true,true,true,true,true
43,ZMK,Jonathan,Bledsoe,PLEASANTVILLE,Zambian,Jonathan.C.Bledsoe@dodgit.com,901-230-9658,true,true,true,true,true,true,true,true,true,true
44,ZMK,Beverly,Sharp,CLEWISTON,Zambian,Beverly.A.Sharp@dodgit.com,817-622-9360,false,false,false,false,false,false,false,false,false,false
45,ZMK,Beverly,Landry,SPRINGFIELD,Zambian,Beverly.C.Landry@pookmail.com,830-226-6572,true,true,true,true,true,true,true,true,true,true
46,ZMK,Damon,Monday,FARWELL,Zambian,Damon.L.Monday@spambob.com,985-503-4465,false,false,false,false,false,false,false,false,false,false
47,ZMK,Raymond,Goebel,ATCO,Zambian,Raymond.V.Goebel@spambob.com,254-765-7896,true,true,true,true,true,true,true,true,true,true
48,ZMK,Deborah,Parker,JACKSONVILLE BEACH,Zambian,Deborah.R.Parker@spambob.com,713-871-6786,false,false,false,false,false,false,false,false,false,false
49,ZMK,Geraldine,Wright,HOUSTON,Zambian,Geraldine.D.Wright@trashymail.com,979-316-2428,true,true,true,true,true,true,true,true,true,true
50,ZMK,Thelma,Hudson,LONG BRANCH,Zambian,Thelma.R.Hudson@dodgit.com,760-764-3135,false,false,false,false,false,false,false,false,false,false
51,ZMK,Joseph,Campbell,SEWELL,Zambian,Joseph.C.Campbell@trashymail.com,270-313-9535,false,false,false,false,false,false,false,false,false,false
52,ZMK,Frances,Atkins,RAGLAND,Zambian,Frances.H.Atkins@trashymail.com,808-276-4974,true,true,true,true,true,true,true,true,true,true
53,ZMK,Solomon,Ramsey,DORADO,Zambian,Solomon.C.Ramsey@mailinator.com,512-931-8452,false,false,false,false,false,false,false,false,false,false
54,ZMK,Daniel,Papineau,MANATI,Zambian,Daniel.C.Papineau@dodgit.com,203-974-9079,true,true,true,true,true,true,true,true,true,true
55,ZMK,Donald,Schendel,MILTONVALE,Zambian,Donald.C.Schendel@spambob.com,503-308-1831,false,false,false,false,false,false,false,false,false,false
56,ZMK,Michael,Brady,WATERBURY,Zambian,Michael.G.Brady@mailinator.com,203-301-2381,true,true,true,true,true,true,true,true,true,true
57,ZMK,Angie,Leslie,MELBOURNE,Zambian,Angie.R.Leslie@trashymail.com,239-293-5301,false,false,false,false,false,false,false,false,false,false
58,ZMK,Frederick,Hodgin,WANAQUE,Zambian,Frederick.B.Hodgin@trashymail.com,740-595-1846,true,true,true,true,true,true,true,true,true,true
59,ZMK,Lynda,Gilroy,MORRIS PLAINS,Zambian,Lynda.J.Gilroy@mailinator.com,909-593-1274,false,false,false,false,false,false,false,false,false,false
60,ZMK,Susan,White,GRANVILLE,Zambian,Susan.M.White@trashymail.com,402-312-6476,true,true,true,true,true,true,true,true,true,true
61,ZMK,Jeremiah,Oneill,JAMAICA PLAIN,Zambian,Jeremiah.K.Oneill@dodgit.com,954-873-8280,false,false,false,false,false,false,false,false,false,false
62,ZMK,Gilbert,Copeland,MASSIES MILL,Zambian,Gilbert.B.Copeland@mailinator.com,661-285-4144,true,true,true,true,true,true,true,true,true,true
63,ZMK,Jordan,Fujimoto,LINEVILLE,Zambian,Jordan.K.Fujimoto@mailinator.com,843-295-5556,false,false,false,false,false,false,false,false,false,false
64,ZMK,Rita,Selby,MARION,Zambian,Rita.J.Selby@spambob.com,757-857-8152,true,true,true,true,true,true,true,true,true,true
65,ZMK,Steven,Vela,TOTOWA,Zambian,Steven.C.Vela@trashymail.com,404-933-1720,false,false,false,false,false,false,false,false,false,false
66,ZMK,Jerry,Darrow,FALKVILLE,Zambian,Jerry.P.Darrow@pookmail.com,407-325-7904,true,true,true,true,true,true,true,true,true,true
67,ZMK,Tanya,Genovese,FENNVILLE,Zambian,Tanya.H.Genovese@dodgit.com,760-869-5787,false,false,false,false,false,false,false,false,false,false
68,ZMK,Joseph,Phillips,HIGHTSTOWN,Zambian,Joseph.P.Phillips@trashymail.com,209-765-7897,true,true,true,true,true,true,true,true,true,true
69,ZMK,Gail,Lawlor,PURLEAR,Zambian,Gail.J.Lawlor@mailinator.com,361-874-5497,false,false,false,false,false,false,false,false,false,false
70,ZMK,Jason,Gaines,MURFREESBORO,Zambian,Jason.F.Gaines@dodgit.com,626-268-4941,true,true,true,true,true,true,true,true,true,true
71,ZMK,Victor,Moreno,WHITE HALL,Zambian,Victor.S.Moreno@pookmail.com,425-267-9695,false,false,false,false,false,false,false,false,false,false
72,ZMK,Bernice,Finch,DOUGLASSVILLE,Zambian,Bernice.J.Finch@trashymail.com,810-379-0177,false,false,false,false,false,false,false,false,false,false
73,ZMK,Betty,Trojan,LA SALLE,Zambian,Betty.N.Trojan@dodgit.com,619-297-4056,true,true,true,true,true,true,true,true,true,true
74,ZMK,Joseph,Goldsberry,REDWOOD CITY,Zambian,Joseph.S.Goldsberry@trashymail.com,607-687-2885,false,false,false,false,false,false,false,false,false,false
75,ZMK,Janice,Beekman,AUTAUGAVILLE,Zambian,Janice.E.Beekman@dodgit.com,740-682-4520,true,true,true,true,true,true,true,true,true,true
76,ZMK,Anita,Williams,COOLIDGE,Zambian,Anita.N.Williams@pookmail.com,630-404-9892,false,false,false,false,false,false,false,false,false,false
77,ZMK,Alex,Garcia,HUNTSVILLE,Zambian,Alex.R.Garcia@spambob.com,713-684-2740,true,true,true,true,true,true,true,true,true,true
78,ZMK,Stacey,Fox,GRAND RAPIDS,Zambian,Stacey.R.Fox@pookmail.com,409-764-8273,false,false,false,false,false,false,false,false,false,false
79,ZMK,Joyce,Mcneal,PHOENIX,Zambian,Joyce.T.Mcneal@dodgit.com,443-254-1250,true,true,true,true,true,true,true,true,true,true
80,ZMK,Glenn,Harder,MATHER,Zambian,Glenn.A.Harder@mailinator.com,443-693-2223,false,false,false,false,false,false,false,false,false,false
81,ZMK,Stacey,Sanderson,HOBOKEN,Zambian,Stacey.L.Sanderson@trashymail.com,781-850-4501,true,true,true,true,true,true,true,true,true,true
82,ZMK,Brian,Neil,BERNVILLE,Zambian,Brian.N.Neil@dodgit.com,360-314-2914,false,false,false,false,false,false,false,false,false,false
83,ZMK,Mary,Mcintosh,DALLAS,Zambian,Mary.C.Mcintosh@mailinator.com,903-567-8034,true,true,true,true,true,true,true,true,true,true
84,ZMK,Ricky,Wenger,BIRCH RUN,Zambian,Ricky.R.Wenger@spambob.com,909-554-1673,false,false,false,false,false,false,false,false,false,false
